Gene,func,WG_Mut_BF,WG_WT_BF,group,pool_group
AKR1C4,Other,-9.769,-6.525,Normal,none
AKR1D1,Other,-10.741,-8.2825,Normal,none
AKR1E2,Other,-6.722,-10.354,Normal,none
AKR7A2,Other,-3.716,-7.363,Normal,none
AKR7A3,Other,-10.355,-10.1125,Normal,none
AKT1,Other,2.496,0.268,Normal,none
AKT1S1,Other,-1.178,-6.3605,Normal,none
AKT2,Other,3.299,2.8995,Normal,none
AKT3,Other,-5.434,3.2955,Enriched,both
AKTIP,Other,-8.969,-8.5725,Normal,none
ALAD,Other,-2.109,-0.00950000000000001,Normal,none
ALAS1,Other,-3.582,2.475,Normal,LFC
ALAS2,Other,-10.243,-8.0935,Normal,none
ALB,Other,-9.208,-8.202,Normal,none
ALCAM,Other,1.436,-0.404,Normal,none
ALDH16A1,Other,-5.583,-3.278,Normal,none
ALDH18A1,Other,-4.07,-5.9265,Normal,none
ALDH1A1,Other,-9.836,-10.0555,Normal,none
ALDH1A2,Other,-2.177,-5.092,Normal,none
ALDH1A3,Other,-5.519,-6.783,Normal,none
ALDH1B1,Other,-7.374,-2.181,Normal,none
ALDH1L1,Other,-8.253,-9.325,Normal,none
ALDH1L2,Other,-8.802,-6.158,Normal,none
ALDH2,Other,-7.26,-6.3335,Normal,none
ALDH3A1,Other,-7.242,-7.631,Normal,none
ALDH3A2,Other,-5.419,-7.9255,Normal,none
ALDH3B1,Other,-4.569,-10.1865,Normal,none
